 URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEO
https://www.medstarhealth.org/blog/127,26,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/128,19,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/129,23,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/130,20,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/131,23,72,67,57,19,72,67,57
https://www.medstarhealth.org/blog/132,16,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/133,22,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/134,24,72,67,57,19,72,67,57
https://www.medstarhealth.org/blog/135,18,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/136,25,72,67,57,25,72,67,57
https://www.medstarhealth.org/blog/137,20,72,67,57,23,72,67,50
https://www.medstarhealth.org/blog/138,22,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/139,22,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/140,20,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/141,20,72,67,57,19,72,67,57
https://www.medstarhealth.org/blog/142,24,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/143,20,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/144,23,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/145,21,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/146,20,72,67,57,18,72,67,57
https://www.medstarhealth.org/blog/147,23,72,67,57,19,72,67,57
https://www.medstarhealth.org/blog/148,18,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/149,18,72,67,57,19,72,67,57
https://www.medstarhealth.org/blog/150,16,72,67,57,19,72,67,57
https://www.medstarhealth.org/blog/151,16,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/152,20,72,67,57,22,72,67,57
https://www.medstarhealth.org/blog/153,15,72,67,57,NA ,NA ,NANAundefined,
https://www.medstarhealth.org/blog/154,NA ,NA ,NANA23,72,67,57,undefined,
https://www.medstarhealth.org/blog/155,19,72,67,57,21,72,67,57
https://www.medstarhealth.org/blog/156,22,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/157,25,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/158,22,72,67,57,16,72,67,57
https://www.medstarhealth.org/blog/159,23,72,67,57,20,72,67,57
https://www.medstarhealth.org/blog/160,20,72,67,57,23,72,67,57
https://www.medstarhealth.org/blog/161,21,72,67,57,25,72,67,57
