 URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEOundefined
https://www.medstarhealth.org/services/neonatology,22,92,67,64,21,92,67,64,undefined
https://www.medstarhealth.org/services/nuclear-medicine,31,93,75,64,30,93,75,64,undefined
https://www.medstarhealth.org/services/obstetrics-and-gynecology,24,90,67,50,23,90,67,50,undefined
https://www.medstarhealth.org/services/occupational-therapy,30,93,75,64,33,93,75,64,undefined
https://www.medstarhealth.org/services/ophthalmology,24,90,57.99999999999999,50,28.000000000000004,90,57.99999999999999,50,undefined
https://www.medstarhealth.org/services/pain-management,28.999999999999996,88,75,56.99999999999999,28.000000000000004,88,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/pancreas-and-liver-diseases-program,24,85,67,56.99999999999999,28.000000000000004,85,67,56.99999999999999,undefined
https://www.medstarhealth.org/services/pediatrics,25,90,67,50,22,90,67,50,undefined
https://www.medstarhealth.org/services/pharmacy,27,93,75,64,50,93,75,64,undefined
https://www.medstarhealth.org/services/pulmonology,24,90,67,50,25,90,67,50,undefined
https://www.medstarhealth.org/services/prostate-cancer,23,90,67,50,25,90,67,50,undefined
https://www.medstarhealth.org/services/radiology,31,93,75,64,38,93,75,64,undefined
https://www.medstarhealth.org/services/reconstructive-surgery,28.000000000000004,93,75,56.99999999999999,30,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/rheumatology-immunology-and-allergy,28.000000000000004,91,75,56.99999999999999,43,91,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/robotic-surgery,30,93,75,50,32,93,75,50,undefined
https://www.medstarhealth.org/services/skin-procedures,30,90,67,56.99999999999999,31,90,67,56.99999999999999,undefined
https://www.medstarhealth.org/services/sleep-center,31,93,75,56.99999999999999,32,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/speech-language-pathology-for-children,28.999999999999996,93,75,64,40,93,75,64,undefined
https://www.medstarhealth.org/services/stroke-treatments,42,93,75,56.99999999999999,31,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/sarcoidosis,28.999999999999996,89,75,56.99999999999999,42,89,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/the-burn-center,28.999999999999996,93,75,56.99999999999999,30,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/services/thoracic-surgery,28.000000000000004,93,67,50,23,93,67,50,undefined
https://www.medstarhealth.org/services/urgent-care,14.000000000000002,85,75,56.99999999999999,16,85,75,56.99999999999999,undefined
